year,Argentina,Australia,Austria,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cuba,Czechia,Denmark,Ecuador,Estonia,European Union,Finland,France,Germany,Guatemala,Hungary,Iceland,India,Italy,Japan,Kazakhstan,"Korea, Rep.",Malaysia,Mauritius,Monaco,Namibia,Netherlands,New Zealand,Norway,Pakistan,Panama,Papua New Guinea,Peru,Poland,Portugal,Romania,Russian Federation,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkiye,Ukraine,United Kingdom,United States,Uruguay,Vanuatu,"Venezuela, RB"
1972,34733000536.2862,52117990654.2056,21973207929.0434,,37209418018.5134,58434858374.8696,,113463848873.624,12057501634.979,113871930713.841,8671358732.68486,8135150891.92025,,23230667549.2496,3185986087.33583,,993807576357.324,14744499569.8308,201738881664.499,300899944795.436,2101300000.0,7379313742.13684,869002945.841831,71464700666.9869,145594833997.344,324933841268.585,,10990490569.7259,5043347250.41815,318664899.637091,402451900.821288,,54787070173.0294,9567331064.65727,17358610849.701,9415016359.56604,1673411700.0,858761926.08968,9189413409.28138,,11239117865.0852,,,,,24515919216.8851,59090176028.993,48883173399.9664,36844318854.2403,20650000000.0,,169965034965.035,1279110000000.0,2189418688.80408,,13977727272.7273
1973,52544000116.9037,63923126201.1531,29399860144.7748,,47743801490.3747,83592275862.9982,,131764343565.643,17237336172.7878,138764340892.0,10315760000.3394,9987709650.18094,,30718181337.3006,3891754150.23796,,1285760453749.93,19474098335.1486,261970536240.424,399833571167.215,2569200100.0,9138292402.1882,1194794186.17552,85517673172.5513,175896529392.229,441460582535.921,,14067523813.0386,7662902677.9027,404285775.079719,523554039.203208,,71946639602.7117,12802281897.8712,22534253702.8686,6383429490.21091,1913793400.0,1299079410.43638,10994381895.1161,,15090564186.4268,,,,,33262772008.1446,78583355225.5854,59318842992.2378,49550006319.5147,26000000000.0,,192537971582.558,1425376000000.0,3964296443.35254,,17035581395.3488
1974,72436777342.4554,89086219602.0634,35051468639.576,,56033077879.0389,109794519727.538,,160949188139.059,16584311220.1384,144418433058.472,12370029583.6419,11405957317.0732,,34125712480.9267,6599257044.12414,,1455564730991.19,24851036710.2568,282739225313.693,446934971657.471,3161499900.0,10016338178.9993,1568154077.03852,99526597933.6331,200024444775.231,490035789970.299,,19860929976.698,9496204301.74981,669894029.624369,563949254.114034,,87371810804.1643,13940981798.1247,27145693810.1341,8899191919.19192,2188307600.0,1467417672.17002,13858441211.4692,,17512391475.9274,,,,,41389186094.5992,97204522642.0536,65917634590.2599,57103011445.6416,35414285714.2857,,206131369798.971,1545243000000.0,4090209681.97172,,26100930232.5581
1975,52438647921.9226,97440939505.6671,39902300703.1682,,65678189097.2908,129203555238.827,,174419757176.563,7812161793.11971,163687619735.857,13098633901.8673,13027415243.9024,,40418967665.5877,7731674472.07212,,1694691860215.15,29475251333.4411,357324307786.446,492434094920.105,3645900000.0,11420392514.6172,1456052700.06506,98473832017.3242,228220643534.994,532861438884.724,,22126033057.8512,9298800799.46702,673311287.073382,711978961.893674,,100397061693.97,12861983284.3912,32877805200.023,11230606060.6061,2435304100.0,1356603608.09695,16931162355.4802,,19347607843.1373,,,,,42906905672.42,114695060869.565,82765232647.753,65466081819.2384,46042857142.8571,,241756637168.142,1684904000000.0,3538278046.96236,,27464651162.7907
1976,51169499892.1722,105209354855.787,42791707448.0325,,71113882967.6071,153168949208.207,,207271612576.065,10523479088.8075,154196810058.643,15341403660.4698,13789579902.5579,,44503607444.1687,9091921030.17345,,1775046705220.48,31852352669.6415,368363152144.223,521658712132.981,4365300200.0,13235612078.8396,1727845419.11401,102716451979.68,225235205861.828,598883902155.605,,30371074380.1653,11050234598.6249,713510051.522669,735324244.667397,,109329386564.427,13604832424.0062,35942270686.3374,13168080808.0808,2588106000.0,1511843235.49111,16131958850.6444,,20332831564.9867,,,,,41150460287.6151,118422534195.474,89232517045.8459,68476524643.943,51450000000.0,,232614555256.065,1873412000000.0,3667161241.48372,,31419534883.7209
1977,56781000101.0848,110504702913.512,51343861460.328,,82839905458.6382,176344101401.941,,212325176304.654,14272711436.7475,175226595859.778,19470960619.1297,14206158674.6988,,49711709588.2196,11026342618.1141,,2011021369358.25,33502784417.884,406401711687.617,602698323085.993,5480500200.0,14783674054.829,2285707748.78061,121486641441.309,258190019749.835,737069290927.712,,39064462809.9174,13139488632.5546,834722972.199873,811191392.224277,,127203923857.412,15446825318.4556,41508030431.1074,15126060606.0606,2738261900.0,1640746618.68467,14544913960.5062,,21439523310.6338,,,,,45328411332.1028,132354665936.473,94331782622.2778,73135771167.048,58683333333.3333,,263066457352.172,2081826000000.0,4114670014.3472,,36210697674.4186
1978,89049453088.3282,118660813779.849,61809208755.804,,101246526194.441,200278646123.581,,219369542386.254,16373093553.7155,149788617886.179,23263511958.0509,17844705324.6753,,60320089217.713,11922497876.4828,,2449229543717.81,36259392057.7617,501724418604.651,743182891918.208,6070600200.0,17286744153.707,2599627088.63561,137302319828.995,315784469541.41,1035611588216.59,,52824793388.4297,16358079862.1096,1029040323.36704,1000555218.03209,,156089077205.133,18530518394.6488,46522900253.7054,17811515151.5152,3244558600.0,1947878830.62383,12491876742.9708,,23487614051.0949,,,,,51607412901.8532,160484969618.056,104290933495.629,102280472035.794,65912500000.0,,335883029721.956,2351599000000.0,4910254565.57831,,39316279069.7674
1979,69252328951.6441,135093718050.665,73647694287.1848,,116315456796.918,221338204480.222,,243891124295.715,22249574627.6911,178573913043.478,27940411250.2732,19584443287.6712,,70393030602.547,14175160902.0721,,2960086312677.68,44469218439.9328,608218624730.188,884574218333.155,6902600200.0,19959731324.801,2953176971.07204,152995442497.709,394584507107.9,1077910077676.37,,68083884297.5207,21213264962.0141,1227446632.17561,1209870147.49099,,179933827309.678,20731243113.2926,53132244623.9213,19688383838.3838,3704551600.0,2293760510.9609,15954012439.1662,,26622819672.1311,,,,,63038658088.9121,214448666336.143,123207527699.377,114970094424.731,89616129032.2581,,438994070309.191,2627333000000.0,7181182224.11227,119258835.335525,48310930232.5581
1980,76961923741.0701,150200557103.064,81737498404.5948,,126829314388.191,237393489892.637,19839230769.2308,274776566028.053,29586676576.0951,191487500000.0,33400735644.0481,19912889861.1111,,70811287815.6106,17881508242.4481,,3311398072837.09,53649984061.205,694529183483.39,953772499462.019,7878700000.0,23116977148.0216,3499616683.34167,186328579302.068,478356755595.749,1129377244854.04,,66547970350.6151,24488224677.2105,1147027924.10804,1378175524.11186,2421990338.12083,195439301706.939,23244547384.6748,64439382896.0156,23654444444.4444,4614086400.0,2545808455.52399,18136838537.725,,32896519823.7885,,,,,89411864402.4272,232600556973.776,141886067003.972,122557843886.137,68823684210.5263,,564947710899.373,2857307000000.0,10163020115.7344,121185497.569261,59116511627.907
1981,78676842366.5529,177151979565.773,70755997062.3812,,104730018470.23,258015174748.648,19870000000.0,307246642755.859,35180322211.2903,196218253968.254,36388366869.0309,20150254096.3855,,61459941460.5385,21810759353.7304,,2890050505826.48,52440066133.9212,609184791792.396,803404797057.551,8607500300.0,23705883891.9445,3615094820.1877,193491368445.573,431695533980.583,1245221410764.15,,74287368087.3467,25004285791.7865,1157769443.59463,1205188647.93163,2249908578.03115,164375775854.456,24417617184.2478,63596654760.8677,28100606060.6061,5222421500.0,2498190847.39668,21648214892.8828,,31977276872.9642,,,,,93141472163.7596,202663023968.283,129498921475.688,112244805518.786,71180180180.1802,,540765675241.158,3207041000000.0,11048301420.6301,113781795.82356,66327441860.4651
